round_epochs,loss,acc,val_loss,val_acc,activation,batch_size,dropout,epochs,first_hidden_layer,optimizer,second_hidden_layer
60,0.24635259807109833,0.8964143395423889,0.9237343072891235,0.7842227220535278,relu,64,0.3,60,8,Adam,4
60,0.3131848871707916,0.8740040063858032,0.7772613167762756,0.7679814100265503,relu,64,0.3,60,8,Adam,6
60,0.20770731568336487,0.9213147163391113,0.9145998954772949,0.7795823812484741,relu,64,0.3,60,8,RMSprop,2
60,0.29563143849372864,0.9068725109100342,0.6141916513442993,0.810904860496521,relu,64,0.3,60,8,RMSprop,4
60,0.20084649324417114,0.9183266758918762,0.5244632363319397,0.8271461725234985,relu,64,0.3,60,8,RMSprop,6
60,0.507973849773407,0.7808765172958374,0.6209666728973389,0.7598608136177063,relu,64,0.3,60,6,Adam,2
60,0.34235280752182007,0.8809760808944702,0.6762442588806152,0.7853828072547913,relu,64,0.3,60,6,Adam,4
60,0.44932377338409424,0.798804759979248,0.7415885925292969,0.7482598423957825,relu,64,0.3,60,6,Adam,6
60,0.21937644481658936,0.9203187227249146,0.6546000242233276,0.8364269137382507,relu,64,0.3,60,6,RMSprop,2
60,0.23820768296718597,0.9088645577430725,0.6826217770576477,0.8341067433357239,relu,64,0.3,60,6,RMSprop,4
60,0.3037802577018738,0.894920289516449,0.5986523628234863,0.8236659169197083,relu,64,0.3,60,6,RMSprop,6
100,0.34817376732826233,0.863545835018158,0.6525534987449646,0.7842227220535278,relu,64,0.3,100,10,Adam,2
100,0.24830442667007446,0.9028884172439575,0.756643533706665,0.7981438636779785,relu,64,0.3,100,10,Adam,4
100,0.3507663607597351,0.8710159659385681,0.804011881351471,0.7378190159797668,relu,64,0.3,100,10,Adam,6
100,0.16777436435222626,0.9402390718460083,0.6349295973777771,0.8445475697517395,relu,64,0.3,100,10,RMSprop,2
100,0.16000035405158997,0.9482071995735168,0.756764829158783,0.8294663429260254,relu,64,0.3,100,10,RMSprop,4
100,0.16210836172103882,0.9501991868019104,1.1450728178024292,0.8085846900939941,relu,64,0.3,100,10,RMSprop,6
